cancion_id,anio,genero,artista,titulo,total_escuchas
1c4c9849-6361-4cc1-abef-81cb2b37d6d9,1983,R&B,Rauw Alejandro,Recuerdo Invierno,9328441
09b35b9d-8386-4bab-ba69-316f33e5e80a,2000,Rock,Ricky Martin,Espejo Recuerdo Pueblo,8547397
49f77681-37d9-49ec-aa90-04b14d590716,2008,Blues,Rosalía,Calle Adiós,371875
f88d7f25-5eda-47ee-8a2a-4d69d9213330,2002,Blues,Manuel Turizo,Amor,933414
34a4e4a9-caff-4696-9fa1-b663b7b7c8cc,2020,Rock,Rosalía,Cielo Calle,8289562
1eee1de4-5bb9-4681-bff1-9cd36862bbf2,2016,Reggae,Imagine Dragons,Noche Pueblo Avenida Momento,2827925
66c9335b-20ce-4e77-a6c5-45d7af7c5180,2016,R&B,Ricky Martin,Destino Eterno Ocaso,4244173
0b232d9c-1938-4fa4-9ccf-7346352ac991,1994,Bachata,Drake,Vuelo Pasión,4599158
02606b1a-935c-44e1-bc8d-00d7e0dd0e2f,1996,Soul,Julieta Venegas,Recuerdo,5227525
e23747e0-a3e0-4561-a513-a78aea48eeda,1966,Rock,Café Tacvba,Misterio,8902487
848d05a4-0318-4bd9-8bd1-724a58336d01,1973,Jazz,Queen,Río Corazón Refugio,7145194
c696d95d-39a3-4aa5-8f55-534f1752c450,2004,Electrónica,Daddy Yankee,Luna Momento Instante,1858766
1f1cc782-f92c-4ec7-afd8-e988dc231f37,1986,Hip Hop,Led Zeppelin,Amor Río,3433940
d0e434c7-533a-4a29-9363-73629fc44cd0,2005,Gospel,Juanes,Adiós Grito Estrella,9871649
3d3269f0-a8ae-4be3-9b89-d154ec796eca,1995,K-Pop,C. Tangana,Espejo Libertad,3036030
4aa61e0a-75dc-4718-a3e6-deb11d0aa62a,2009,K-Pop,Kendrick Lamar,Verano Libertad Lluvia,4187342
90683f8e-233e-4dd4-8ef2-01069196015f,1977,Trap,Julieta Venegas,Mentira,7860419
4e2cc5ff-788b-4e23-a8a3-05dd2240b252,1982,Metal,Red Hot Chili Peppers,Mentira Sombras Estrella,2676139
fb918db6-2969-48aa-850f-5031029ecf20,1995,Bachata,Café Tacvba,Fuego,1779302
05b556a4-2ca7-44ed-8b74-4db9c1a2a2ae,2017,Reggae,Daddy Yankee,Amor Melancolía Ciudad Fantasía,7546917
e165bb01-25e7-47e6-87b8-580994402b82,1984,Blues,Pablo Alborán,Infinito Bosque Corazón,7710294
f657e646-a414-44fb-9ed2-8607b624defa,1996,Techno,Imagine Dragons,Lluvia,9501179
a62ef1d1-dc22-4f26-8f73-f58d44b699e1,2013,Electrónica,The Weeknd,Invierno,9045455
d7dc7859-f356-4da6-b4e5-fa310c2b199e,1970,R&B,Taylor Swift,Verdad Ciudad Esperanza,1448303
d8fdcbe5-66b5-4bf1-818e-13c627fe1fff,1963,Reggaetón,Juanes,Mar Calle Espejo,4999710
